Active_Growth_Period,Bloom_Period,Coppice_Potential,Duration,Fertility_Requirement,Foliage_Porosity_Summer,Genus,Growth_Form,Growth_Habit,Growth_Rate,Height_Mature_feet,Known_Allelopath,Species,State_and_Province,Vegetative_Spread_Rate,pH_Maximum,pH_Minimum
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,reventum,USA (AZ),,,
,,,Perennial,,,Abutilon,,"Subshrub, Shrub",,,,trisulcatum,USA (TX),,,
,,,"Annual, Perennial",,,Abronia,,Forb/herb,,,,turbinata,"USA (CA, NV, OR)",,,
,,,Annual,,,Abronia,,Forb/herb,,,,villosa,"USA (AZ, CA, NV, UT)",,,
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,wrightii,"USA (NM, TX)",,,
,,,Perennial,,,Actaea,,Forb/herb,,,,arizonica,USA (AZ),,,
,,,Perennial,,,Acrostichum,,Forb/herb,,,,aureum,"USA (FL, HI), USA+ (PR, VI)",,,
,,,Perennial,,,Acacia,,"Tree, Shrub",,,,choriophylla,USA (FL),,,
,,,Perennial,,,Acer,,"Tree, Shrub, Vine",,,,circinatum,"USA (AK, CA, OR, WA), CAN (BC)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Porous,Acacia,Multiple Stem,"Tree, Shrub",Slow,9.0,No,constricta,"USA (AZ, MD, NM, TX, VA)",None,8.5,7.0
Spring and Summer,Late Spring,No,Perennial,Low,Porous,Acacia,Multiple Stem,"Tree, Shrub",Slow,9.0,No,constricta,"USA (AZ, MD, NM, TX, VA)",None,8.5,7.0
,,,Perennial,,,Acrostichum,,Forb/herb,,,,danaeifolium,"USA (FL), USA+ (PR, VI)",,,
,,,Perennial,,,Actaea,,Forb/herb,,,,elata,"USA (OR, WA), CAN (BC)",,,
,,,Perennial,,,Acer,,"Tree, Shrub",,,,glabrum,"USA (AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",,,
,,,Perennial,,,Acer,,"Tree, Shrub",,,,glabrum,"USA (AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",,,
Spring and Summer,Mid Spring,No,Perennial,Low,Porous,Acacia,Multiple Stem,"Tree, Shrub",Slow,20,No,greggii,"USA (AZ, CA, NM, NV, TX, UT)",None,8.5,6.5
,,,Annual,,,Acalypha,,Forb/herb,,,,gracilens,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",,,
,,,Perennial,,,Acer,,"Tree, Shrub",,,,grandidentatum,"USA (AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY)",,,
Spring and Summer,Mid Spring,No,Perennial,Low,Porous,Acacia,Multiple Stem,"Tree, Shrub",Slow,20,No,greggii,"USA (AZ, CA, NM, NV, TX, UT)",None,8.5,6.5
,,,Perennial,,,Actaea,,Forb/herb,,,,laciniata,"USA (OR, WA)",,,
,,,Perennial,,,Acer,,"Tree, Shrub",,,,leucoderme,"USA (AL, AR, DC, FL, GA, LA, MS, NC, OK, SC, TN, TX)",,,
,,,Perennial,,,Acer,,Tree,,,,macrophyllum,"USA (CA, OR, WA), CAN (BC)",,,
,,,Perennial,,,Acacia,,"Tree, Shrub",,,,millefolia,"USA (AZ, NM)",,,
,,,Perennial,,,Acourtia,,"Subshrub, Forb/herb",,,,microcephala,USA (CA),,,
Spring,Early Summer,No,Perennial,Medium,Porous,Achillea,Rhizomatous,Forb/herb,Moderate,3.0,No,millefolium,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Slow,8.0,6.0
Spring,Early Summer,No,Perennial,Medium,Porous,Achillea,Rhizomatous,Forb/herb,Moderate,3.0,No,millefolium,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Slow,8.0,6.0
Spring and Summer,Early Spring,Yes,Perennial,Medium,Dense,Acer,Multiple Stem,Tree,Rapid,60,No,negundo,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)",Slow,7.8,5.0
Spring and Summer,Early Spring,Yes,Perennial,Medium,Dense,Acer,Multiple Stem,Tree,Rapid,60,No,negundo,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)",Slow,7.8,5.0
,,,Perennial,,,Acer,,Tree,,,,nigrum,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV), CAN (ON, QC)",,,
,,,Perennial,,,Actaea,,Forb/herb,,,,pachypoda,"USA (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC)",,,
,,,Perennial,,,Acer,,"Tree, Shrub",,,,pensylvanicum,"USA (CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC)",,,
,,,Perennial,,,Acacia,,"Tree, Shrub",,,,pinetorum,USA (FL),,,
,,,Perennial,,,Actaea,,Forb/herb,,,,podocarpa,"USA (GA, IL, KY, MD, NC, PA, SC, TN, VA, WV)",,,
,,,Perennial,,,Actaea,,Forb/herb,,,,racemosa,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV), CAN (ON, QC)",,,
Spring and Summer,Early Spring,Yes,Perennial,Medium,Dense,Acer,Single Stem,Tree,Rapid,68,No,rubrum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NB, NF, NS, ON, PE, QC)",None,7.3,4.7
,,,Perennial,,,Actaea,,Forb/herb,,,,rubifolia,"USA (AL, IL, IN, KY, PA, TN, VA)",,,
,,,Perennial,,,Actaea,,Forb/herb,,,,rubra,"USA (AK, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)",,,
Spring and Summer,Early Spring,Yes,Perennial,Medium,Dense,Acer,Single Stem,Tree,Rapid,68,No,rubrum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NB, NF, NS, ON, PE, QC)",None,7.3,4.7
Spring and Summer,Early Spring,Yes,Perennial,Low,Dense,Acer,Single Stem,Tree,Rapid,90,No,saccharinum,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), CAN (NB, ON, QC, SK)",None,7.3,4.0
,,,Perennial,,,Acer,,"Tree, Shrub",,,,saccharum,"USA (AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC)",,,
Spring and Summer,Spring,Yes,Perennial,Medium,Dense,Acer,Multiple Stem,"Tree, Shrub",Moderate,25,No,spicatum,"USA (AL, CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",None,7.0,4.8
,,,Perennial,,,Acanthocereus,,"Vine, Shrub",,,,tetragonus,"USA (FL, HI, TX), USA+ (VI)",,,
,,,Perennial,,,Aconitum,,Forb/herb,,,,uncinatum,"USA (AL, DC, GA, IL, IN, KY, MD, MO, NC, NH, OH, PA, SC, TN, VA, WV)",,,
"Spring, Summer, Fall",Early Summer,No,Annual,Medium,Moderate,Acalypha,Single Crown,Forb/herb,Rapid,3.0,No,virginica,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV)",None,7.0,5.9
,,,Perennial,,,Adiantum,,Forb/herb,,,,aleuticum,"USA (AK, AZ, CA, CO, ID, MD, ME, MI, MT, NV, OR, PA, UT, VT, WA, WV, WY), CAN (AB, BC, NF, QC)",,,
,,,Perennial,,,Adenocaulon,,Forb/herb,,,,bicolor,"USA (CA, ID, MI, MN, MT, ND, OR, SD, WA, WY), CAN (AB, BC, ON)",,,
,,,Perennial,,,Adenophyllum,,Subshrub,,,,cooperi,"USA (AZ, CA, NV, UT)",,,
"Fall, Winter and Spring",Mid Spring,Yes,Perennial,Low,Moderate,Adenostoma,Thicket Forming,Shrub,,10,Yes,fasciculatum,"USA (CA, NV)",,6.0,4.0
"Fall, Winter and Spring",Mid Spring,Yes,Perennial,Low,Moderate,Adenostoma,Thicket Forming,Shrub,,10,Yes,fasciculatum,"USA (CA, NV)",,6.0,4.0
,,,Biennial,,,Adlumia,,"Vine, Forb/herb",,,,fungosa,"USA (CT, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (MB, NB, NS, ON, QC)",,,
,,,Perennial,,,Adiantum,,Forb/herb,,,,jordanii,"USA (CA, OR)",,,
,,,Perennial,,,Adiantum,,Forb/herb,,,,melanoleucum,"USA (, FL), USA+ (PR)",,,
,,,Perennial,,,Adoxa,,Forb/herb,,,,moschatellina,"USA (AK, CO, IA, IL, MN, MT, NM, NY, SD, UT, WI, WY), CAN (AB, BC, MB, NT, ON, SK, YT)",,,
,,,Perennial,,,Adiantum,,Forb/herb,,,,pedatum,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV), CAN (NB, NS, ON, QC)",,,
,,,Perennial,,,Adenostoma,,"Tree, Shrub",,,,sparsifolium,USA (CA),,,
,,,Perennial,,,Adiantum,,Forb/herb,,,,tenerum,"USA (, FL, HI), USA+ (PR, VI)",,,
,,,Perennial,,,Adiantum,,Forb/herb,,,,tricholepis,USA (TX),,,
,,,Perennial,,,Aeschynomene,,"Forb/herb, Subshrub",,,,americana,"USA (AL, FL, GA, LA, MD), USA+ (PR, VI)",,,
,,,Perennial,,,Aesculus,,"Tree, Shrub",,,,californica,"USA (CA, OR)",,,
,,,Perennial,,,Aesculus,,"Tree, Shrub",,,,flava,"USA (AL, DC, GA, IL, IN, KY, MD, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV)",,,
,,,Perennial,,,Aesculus,,Tree,,,,glabra,"USA (AL, AR, GA, IA, IL, IN, KS, KY, ME, MI, MN, MO, MS, NE, NH, NJ, NY, OH, OK, PA, TN, TX, VA, WI, WV), CAN (ON)",,,
,,,"Annual, Perennial",,,Aeschynomene,,Forb/herb,,,,indica,"USA (AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TX, VA), USA+ (PR)",,,
Spring and Summer,Late Spring,Yes,Perennial,Medium,Dense,Aesculus,Single Stem,"Tree, Shrub",Moderate,25,No,pavia,"USA (AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV), CAN (ON)",None,7.0,3.7
,,,Perennial,,,Aesculus,,"Tree, Shrub",,,,parviflora,"USA (AL, DC, GA, NJ, NY, PA, SC)",,,
Spring and Summer,Late Spring,Yes,Perennial,Medium,Dense,Aesculus,Single Stem,"Tree, Shrub",Moderate,25,No,pavia,"USA (AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV), CAN (ON)",None,7.0,3.7
,,,Perennial,,,Aesculus,,"Tree, Shrub",,,,sylvatica,"USA (AL, GA, NC, SC, TN, VA)",,,
,,,Perennial,,,Agrostis,,Graminoid,,,,aequivalvis,"USA (AK, OR, WA), CAN (BC)",,,
,,,Perennial,,,Ageratina,,Forb/herb,,,,altissima,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (NB, NS, NT, ON, QC)",,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,americana,"USA (AZ, CA, FL, HI, LA, TX), USA+ (VI)",,,
,,,Perennial,,,Ageratina,,Forb/herb,,,,aromatica,"USA (AL, CT, DC, DE, FL, GA, KY, LA, MA, MD, MS, NC, NJ, NY, OH, PA, RI, SC, TN, VA, WV)",,,
,,,Annual,,,Agalinis,,Forb/herb,,,,aspera,"USA (AR, IA, IL, KS, MN, MO, ND, NE, OK, SD, TX, WI), CAN (MB)",,,
,,,Perennial,,,Agave,,"Shrub, Forb/herb, Subshrub",,,,asperrima,USA (TX),,,
,,,Annual,,,Agalinis,,Forb/herb,,,,auriculata,"USA (AL, AR, DC, IA, IL, IN, KS, KY, MD, MI, MN, MO, MS, NJ, OH, OK, PA, SC, TN, TX, VA, WI, WV)",,,
,,,Perennial,,,Agrostis,,Graminoid,,,,blasdalei,USA (CA),,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,breviflora,"USA (AZ, NM)",,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,cana,"USA (NM, TX)",,,
Spring and Summer,Mid Spring,No,Perennial,High,Moderate,Agrostis,Stoloniferous,Graminoid,Moderate,1.5,No,canina,"USA (CT, DE, HI, MA, MD, ME, MI, MN, NH, NJ, NY, OR, PA, RI, TN, VT, WV), CAN (LB, NB, NF, NS, PE, QC), DEN (GL), FRA (SPM)",Rapid,7.5,5.0
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,chrysantha,USA (AZ),,,
,,,Perennial,,,Agrostis,,Graminoid,,,,clivicola,USA (CA),,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,cusickii,"USA (ID, MT, NV, OR)",,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,deserti,"USA (AZ, CA)",,,
,,,Perennial,,,Agave,,"Forb/herb, Shrub, Subshrub",,,,delamateri,USA (AZ),,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,decipiens,USA (FL),,,
,,,Perennial,,,Agrostis,,Graminoid,,,,densiflora,"USA (CA, OR)",,,
,,,Annual,,,Agalinis,,Forb/herb,,,,edwardsiana,USA (TX),,,
,,,Annual,,,Agrostis,,Graminoid,,,,elliottiana,"USA (AL, AR, AZ, CA, DC, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NM, OH, OK, PA, SC, TN, TX, VA)",,,
"Spring, Summer, Fall",Late Spring,No,Perennial,Medium,Porous,Agrostis,Rhizomatous,Graminoid,Moderate,3.0,No,exarata,"USA (AK, AZ, CA, CO, ID, KY, MT, NE, NM, NV, OK, OR, SD, TX, UT, VT, WA, WY), CAN (AB, BC, NT, SK, YT)",Slow,7.5,5.5
,,,Annual,,,Agalinis,,Forb/herb,,,,fasciculata,"USA (AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA), USA+ (PR)",,,
,,,Annual,,,Agalinis,,Forb/herb,,,,filifolia,"USA (AL, FL, GA)",,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,foeniculum,"USA (CO, CT, DE, IA, IL, KY, MI, MN, MT, ND, NE, NH, NJ, NY, PA, SD, WA, WI, WY), CAN (AB, BC, MB, NB, NT, ON, QC, SK)",,,
Spring and Summer,Mid Spring,No,Perennial,Low,Porous,Agoseris,Single Crown,"Forb/herb, Shrub, Subshrub",Rapid,1.0,No,glauca,"USA (AK, AZ, CA, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, NT, ON, SK)",None,8.0,6.0
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,glomeruliflora,USA (TX),,,
Spring and Summer,Mid Spring,No,Perennial,Low,Porous,Agoseris,Single Crown,"Forb/herb, Shrub, Subshrub",Rapid,1.0,No,glauca,"USA (AK, AZ, CA, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, NT, ON, SK)",None,8.0,6.0
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,gracilipes,"USA (NM, TX)",,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,havardiana,USA (TX),,,
,,,Perennial,,,Agrostis,,Graminoid,,,,hallii,"USA (CA, OR, WA)",,,
,,,Perennial,,,Ageratina,,Shrub,,,,havanensis,USA (TX),,,
,,,Annual,,,Agrostis,,Graminoid,,,,hendersonii,"USA (CA, OR)",,,
,,,Annual,,,Agalinis,,Forb/herb,,,,heterophylla,"USA (AL, AR, GA, KS, LA, MO, MS, OK, TN, TX)",,,
,,,Perennial,,,Ageratina,,"Subshrub, Forb/herb",,,,herbacea,"USA (AZ, CA, CO, NM, NV, TX, UT)",,,
,,,Perennial,,,Agrostis,,Graminoid,,,,hooveri,USA (CA),,,
,,,Perennial,,,Agrostis,,Graminoid,,,,howellii,USA (OR),,,
,,,Perennial,,,Agrostis,,Graminoid,,,,humilis,"USA (AK, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, ON)",,,
"Spring, Summer, Fall",Mid Spring,No,Perennial,Medium,Dense,Agrostis,Bunch,Graminoid,Moderate,3.5,No,hyemalis,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), USA+ (PR), CAN (ON)",Moderate,7.5,5.0
"Spring, Summer, Fall",Late Spring,No,Perennial,Medium,Porous,Agrostis,Bunch,Graminoid,Moderate,1.4,No,idahoensis,"USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)",None,7.5,5.5
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,mearnsii,USA (NM),,,
,,,Perennial,,,Agrostis,,Graminoid,,,,mertensii,"USA (AK, CO, ME, MT, NC, NH, NY, SC, TN, UT, VA, VT, WA, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)",,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,micrantha,"USA (AZ, NM, TX)",,,
,,,Annual,,,Agrostis,,Graminoid,,,,microphylla,"USA (CA, OR, WA), CAN (BC)",,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,murpheyi,USA (AZ),,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,nepetoides,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, VA, VT, WI, WV), CAN (ON, QC)",,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,neglecta,USA (FL),,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,occidentalis,"USA (OR, WA)",,,
,,,Perennial,,,Ageratina,,"Subshrub, Forb/herb",,,,occidentalis,"USA (CA, ID, MT, NV, OR, UT, WA)",,,
,,,Perennial,,,Agrostis,,Graminoid,,,,oregonensis,"USA (CA, ID, MT, NV, OR, WA, WY), CAN (BC)",,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,pallidiflora,"USA (AZ, CO, NM, TX)",,,
,,,Perennial,,,Agastache,,"Subshrub, Forb/herb",,,,pallida,USA (AZ),,,
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Agastache,Rhizomatous,"Subshrub, Forb/herb",Moderate,2.0,No,parvifolia,USA (CA),Slow,6.2,5.6
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,palmeri,"USA (AZ, NM)",,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,parryi,"USA (AZ, NM, TX)",,,
,,,Perennial,,,Agave,,"Subshrub, Shrub, Forb/herb",,,,parviflora,USA (AZ),,,
Spring and Summer,Mid Summer,No,Perennial,Low,Porous,Agrimonia,Multiple Stem,Forb/herb,Rapid,6.0,No,parviflora,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV), CAN (ON)",None,8.0,6.0
Spring and Summer,Mid Spring,No,Perennial,Medium,Porous,Agrostis,Rhizomatous,Graminoid,Moderate,2.0,No,pallens,"USA (CA, ID, MT, NV, OR, WA), CAN (BC)",Moderate,8.0,5.5
